Quel	DETrel	quel
bele	ADJqua	bel
,	PONfbl	,
Gente	ADJqua	gent
e	CONcoo	et
curteise	ADJqua	courtois
damisele	NOMcom	damoiselle
.	PONfrt	.

Chadwalein	NOMpro	Cadwalan
les	DETdef	le
Bretuns	NOMpro	Breton
manda	VERcjg	mander
,	PONfbl	,
Mult	ADVgen	moult
les	PROper	il
blandi	VERcjg	blandir
e	CONcoo	et
mercia	VERcjg	mercier
Del	PRE.DETdef	de
travail	NOMcom	travail
e	CONcoo	et
de	PRE	de
la	DETdef	le
haür	NOMcom	haïeur
Que	PROrel	que
suffert	VERppe	souffrir
orent	VERcjg	avoir
pur	PRE	pour
s'	DETpos	son
amur	NOMcom	amour
.	PONfrt	.

Tut	ADVgen	tout
ala	VERcjg	aller
gastant	VERppa	gâter
lu	DETdef	le
païs	NOMcom	päis
,	PONfbl	,
La	ADVgen	là
u	PROrel	où
il	PROper	il
sot	VERcjg	savoir
ses	DETpos	son
enemis	NOMcom	ennemi
;	PONfbl	;
L'	DETdef	le
ewe	NOMcom	eau
del	PRE.DETdef	de
Humbre	NOMpro	Humber
trespassa	VERcjg	trépasser
,	PONfbl	,
Chastels	NOMcom	château
destruist	VERcjg	détruire
,	PONfbl	,
viles	NOMcom	ville
preia	VERcjg	prier
.	PONfrt	.

Edwine	NOMpro	Edwin
manda	VERcjg	mander
tuz	DETind	tous
les	DETdef	le
reis	NOMcom	roi
Ki	PROrel	qui
Seidnes	NOMpro	Saxon
furent	VERcjg	estre
e	CONcoo	et
Engleis	NOMpro	Anglais
(	PONpga	(
Plusurs	PROind	plusieurs
ki	PROrel	qui
reis	NOMcom	roi
clamé	VERppe	clamer
esteient	VERcjg	être
Pur	PRE	pour
realtez	NOMcom	royauté
cuntez	NOMcom	comté
teneient	VERcjg	tenir
)	PONpdr	)
.	PONfrt	.

Edwine	NOMpro	Edwin
les	PROper	il
out	VERcjg	avoir
tuz	PROind	tous
od	PRE	o
sei	PROper	soi
Que	CONcoo	que
par	PRE	par
humages	NOMcom	hommage
,	PONfbl	,
que	CONcoo	que
par	PRE	par
fei	NOMcom	foi
.	PONfrt	.

Cuntre	PRE	contre
Chadwalein	NOMpro	Cadwalan
chevalcha	VERcjg	chevaucher
E	CONcoo	et
Chadwalein	NOMpro	Cadwalan
nel	ADVneg.PROper	ne
reduta	VERcjg	redouter
.	PONfrt	.

En	PRE	en
un	DETndf	un
champ	NOMcom	champ
ki	PROrel	qui
Helfelde	NOMpro	Helfelde
ad	VERcjg	avoir
nun	NOMcom	nom
Fud	VERcjg	être
la	DETdef	le
bataille	NOMcom	bataille
e	CONcoo	et
la	DETdef	le
tençun	NOMcom	tançon
Entre	PRE	entre
Chadwalein	NOMpro	Cadwalan
e	CONcoo	et
Edwine	NOMpro	Edwin
;	PONfbl	;
Mult	ADVgen	moult
ot	VERcjg	avoir
entr'	PRE	entre
els	PROper	eux
mortel	ADJqua	mortel
haïne	NOMcom	häine
.	PONfrt	.

Edwine	NOMpro	Edwin
fud	VERcjg	être
morz	VERppe	morir
e	CONcoo	et
sis	DETpos	son
fiz	NOMcom	fils
,	PONfbl	,
Ki	PROrel	qui
esteit	VERcjg	être
apelé	VERppe	apeler
Osfriz	NOMpro	Osfrid
,	PONfbl	,
E	CONcoo	et
mort	VERppe	mourir
fud	VERcjg	être
li	DETdef	le
reis	NOMcom	roi
d'	PRE	de
Orkenie	NOMpro	Orcanie
,	PONfbl	,
Ki	PROrel	qui
venuz	VERppe	venir
ert	VERcjg	être
en	PRE	en
lur	DETpos	leur
aïe	NOMcom	äie
;	PONfbl	;
Des	PRE.DETdef	de
altres	PROind	autre
i	PROadv	i
ot	VERcjg	avoir
pris	VERppe	prendre
asez	ADVgen	assez
,	PONfbl	,
Plusurs	PROind	plusieurs
ocis	VERppe	occire
,	PONfbl	,
plusurs	PROind	plusieurs
nafrez	VERppe	navrer
.	PONfrt	.

Grant	ADJqua	grant
fud	VERcjg	être
l'	DETdef	le
ocise	NOMcom	occise
e	CONcoo	et
grant	ADJqua	grant
la	DETdef	le
prise	NOMcom	prise
Dunt	PROrel	dont
Chadwalein	NOMpro	Cadwalan
fist	VERcjg	faire
grant	ADJqua	grant
justise	NOMcom	justice
;	PONfbl	;
Cels	PROdem	cil
destruist	VERcjg	détruire
e	CONcoo	et
lur	DETpos	leur
parenté	NOMcom	parenté
Ki	PROrel	qui
cuntre	PRE	contre
lui	PROper	il
orent	VERcjg	avoir
esté	VERppe	être
;	PONfbl	;
Femmes	NOMcom	femme
fist	VERcjg	faire
ocire	VERinf	occire
e	CONcoo	et
enfanz	NOMcom	enfant
,	PONfbl	,
Neïs	ADVgen	nëis
les	DETdef	le
petiz	ADJqua	petit
alaitanz	VERppa	allaiter
;	PONfbl	;
Unques	ADVgen	onques
n'	ADVneg	ne
i	PROadv	i
pot	VERcjg	pöoir
valeir	VERinf	valoir
eage	NOMcom	âge
Ne	CONcoo	ne
pris	NOMcom	pris
ne	CONcoo	ne
bealté	NOMcom	beauté
ne	CONcoo	ne
parage	NOMcom	parage
.	PONfrt	.

D'	PRE	de
Edwine	NOMpro	Edwin
fud	VERcjg	être
remés	VERppe	remanoir
uns	DETndf	un
eirs	NOMcom	hoir
Ki	PROrel	qui
tint	VERcjg	tenir
lu	DETdef	le
regne	NOMcom	règne
e	CONcoo	et
les	DETdef	le
maneirs	NOMcom	manoir
:	PONfbl	:
Osriz	NOMpro	Osrid
ot	VERcjg	avoir
nun	NOMcom	nom
en	PRE	en
baptistire	NOMcom	baptistère
.	PONfrt	.

Mes	CONcoo	mais
Cadwalein	NOMpro	Cadwalan
ot	VERcjg	avoir
sun	DETpos	son
empire	NOMcom	empire
;	PONfbl	;
Guerre	NOMcom	guerre
e	CONcoo	et
estrif	NOMcom	estrif
cuntre	PRE	contre
lui	PROper	il
prist	VERcjg	prendre
,	PONfbl	,
Lui	PROper	il
e	CONcoo	et
dous	PROcar	deux
ses	DETpos	son
nevuz	NOMcom	neveu
ocist	VERcjg	ocire
Pur	PRE	pour
ço	PROdem	ce
que	CONsub	que
part	NOMcom	part
del	PRE.DETdef	de
regne	NOMcom	règne
aveient	VERcjg	avoir
E	CONcoo	et
eir	NOMcom	hoir
emprés	ADVgen	emprès
estre	VERinf	estre
deveient	VERcjg	devoir
;	PONfbl	;
Ne	ADVneg	ne
laissa	VERcjg	laisser
qu'	CONsub	que
il	PROper	il
peüst	VERcjg	pöoir
trover	VERinf	trover
Ki	PROrel	qui
deüst	VERcjg	devoir
erité	NOMcom	hérité
clamer	VERinf	clamer
.	PONfrt	.

Oswald	NOMpro	Oswald
aprés	ADVgen	après
,	PONfbl	,
un	DETndf	un
gentil	ADJqua	gentil
ber	NOMcom	baron
Pur	PRE	pour
cristïene	ADJqua	chrétien
lei	NOMcom	loi
guarder	VERinf	garder
,	PONfbl	,
Uns	DETndf	un
nobles	ADJqua	noble
huem	NOMcom	homme
de	PRE	de
franc	ADJqua	franc
curage	NOMcom	courage
,	PONfbl	,
Ot	VERcjg	avoir
lu	DETdef	le
regne	NOMcom	règne
par	PRE	par
eritage	NOMcom	héritage
;	PONfbl	;
Mes	CONcoo	mais
Chadwalein	NOMpro	Cadwalan
le	PROper	il
guerria	VERcjg	guerroyer
E	CONcoo	et
vers	PRE	vers
Escoce	NOMpro	Écosse
lu	PROper	le
chaça	VERcjg	chasser
.	PONfrt	.

Quant	CONsub	quand
il	PROper	il
vit	VERcjg	vëoir
que	CONsub	que
tant	ADVgen	tant
luin	ADVgen	loin
fuieit	VERcjg	fuir
E	CONcoo	et
que	CONsub	que
ateindre	VERinf	atteindre
nel	ADVneg.PROper	ne
poeit	VERcjg	pouvoir
,	PONfbl	,
Nel	ADVneg.PROper	ne
volt	VERcjg	vouloir
mie	ADVneg	mie
plus	ADVgen	plus
luin	ADVgen	loin
chacier	VERinf	chacier
Ne	CONcoo	ne
tuz	DETind	tous
ses	DETpos	son
humes	NOMcom	homme
travaillier	VERinf	travailler
;	PONfbl	;
Partie	NOMcom	partie
de	PRE	de
sa	DETpos	son
gent	NOMcom	gent
livra	VERcjg	livrer
A	PRE	a
Peanda	NOMpro	Penda
,	PONfbl	,
si	ADVgen	si
li	PROper	il
rova	VERcjg	rover
Qu'	CONsub	que
Oswald	NOMpro	Oswald
chaçast	VERcjg	chacier
tant	ADVgen	tant
e	CONcoo	et
siewist	VERcjg	suivre
Qu'	CONsub	que
il	PROper	il
le	PROper	il
preïst	VERcjg	prendre
u	CONcoo	ou
oceïst	VERcjg	ocire
.	PONfrt	.

Quant	CONsub	quand
Oswald	NOMpro	Oswald
sot	VERcjg	savoir
cel	DETdem	cil
apareil	NOMcom	appareil
,	PONfbl	,
Forment	ADVgen	fortement
li	PROper	il
plot	VERcjg	plaire
si	ADVgen	si
prist	VERcjg	prendre
cunseil	NOMcom	conseil
Que	CONsub	que
pur	PRE	pour
Peanda	NOMpro	Penda
ne	ADVneg	ne
fuereit	VERcjg	fuir
Ainz	ADVgen	ains
l'	PROper	il
atendreit	VERcjg	attendre
s'	CONsub	se
il	PROper	il
le	PROper	il
sieweit	VERcjg	suivre
;	PONfbl	;
Enmi	PRE	enmi
un	DETndf	un
champ	NOMcom	champ
s'	PROper	soi
est	VERcjg	estre
arestez	VERppe	arrêter
Ki	PROrel	qui
Hevenfeld	NOMpro	Heavenfield
est	VERcjg	estre
apelez	VERppe	apeler
.	PONfrt	.

Hevenfeld	ETR	Heavenfield
,	PONfbl	,
cist	DETdem	cest
nuns	NOMcom	nom
est	VERcjg	estre
engleis	NOMcom	anglais
,	PONfbl	,
Celestiel	ADJqua	célestiel
champ	NOMcom	champ
en	PRE	en
franceis	NOMcom	français
.	PONfrt	.

El	PRE.DETdef	en
champ	NOMcom	champ
fist	VERcjg	faire
une	DETndf	un
croiz	NOMcom	croix
lever	VERinf	lever
,	PONfbl	,
A	PRE	a
sa	DETpos	son
gent	NOMcom	gent
la	PROper	il
fist	VERcjg	faire
aürer	VERinf	aorer
;	PONfbl	;
“	PONpga	“
Sainte	ADJqua	saint
croiz	NOMcom	croix
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
aürez	VERcjg	aorer
,	PONfbl	,
Batez	VERcjg	battre
cupes	NOMcom	coulpe
,	PONfbl	,
merci	NOMcom	merci
criez	VERcjg	crier
.	PONfrt	.

De	PRE	de
vos	DETpos	votre
pechiez	NOMcom	pechié
vus	PROper	vous
repentez	VERcjg	repentir
E	CONcoo	et
des	PRE.DETdef	de.le
mesfaiz	NOMcom	méfait
pardun	NOMcom	pardon
querez	VERcjg	querre
.	PONfrt	.

Faites	VERcjg	faire
vus	PROper	vous
humblement	ADVgen	humblement
cunfés	ADJqua	confès
Que	PROrel	que
que	PROrel	que
aviengë	VERcjg	advenir
en	PRE	en
aprés	ADVgen	après
;	PONfbl	;
Plus	ADVgen	plus
aseür	ADJqua	assëur
estre	VERinf	estre
purrunt	VERcjg	pouvoir
Cil	PROdem	cel
qui	PROrel	que
vivrunt	VERcjg	vivre
u	CONcoo	ou
qui	PROrel	que
murrunt	VERcjg	mourir
.	PONfbl	.
”	PONpdr	”
Cil	PROdem	cel
firent	VERcjg	faire
sun	DETpos	son
cumandement	NOMcom	commandement
;	PONfbl	;
A	PRE	a
genuilluns	NOMcom	genouillon
mult	ADVgen	moult
humblement	ADVgen	humblement
Aürerent	VERcjg	aorer
Deu	NOMpro	Dieu
e	CONcoo	et
la	DETdef	le
croiz	NOMcom	croix
Od	PRE	o
humble	ADJqua	humble
cuer	NOMcom	cuer
,	PONfbl	,
od	PRE	o
simple	ADJqua	simple
voiz	NOMcom	voix
;	PONfbl	;
A	PRE	a
Damnedeu	NOMpro	Damedieu
merci	NOMcom	merci
requistrent	VERcjg	requérir
,	PONfbl	,
Disciplines	NOMcom	discipline
e	CONcoo	et
venies	NOMcom	veine
pristrent	VERcjg	prendre
.	PONfrt	.

Puis	ADVgen	puis
sunt	VERcjg	être
apresté	VERppe	aprester
de	PRE	de
cumbatre	VERinf	combattre
,	PONfbl	,
S'	CONsub	se
est	VERcjg	estre
qui	PROrel	que
sur	PRE	sur
els	PROper	eux
se	PROper	soi
vueille	VERcjg	vouloir
enbatre	VERinf	embattre
.	PONfrt	.

Peanda	NOMpro	Penda
vint	VERcjg	venir
kis	PROrel.PROper	qui.le
asailli	VERcjg	assalir
,	PONfbl	,
Mes	CONcoo	mais
malement	ADVgen	malement
l'en	PROind	loin
eschaï	VERcjg	échoir
,	PONfbl	,
Kar	CONcoo	car
de	PRE	de
sa	DETpos	son
gent	NOMcom	gent
le	DETdef	le
mielz	ADVgen	mieux
perdi	VERcjg	perdre
E	CONcoo	et
il	PROper	il
meïsmes	ADJind	mëisme
s'	PROper	soi
en	PROadv	en
fuï	VERcjg	fuir
;	PONfbl	;
Lu	DETdef	le
cuer	NOMcom	cuer
ot	VERcjg	avoir
gros	ADJqua	gros
e	CONcoo	et
d'	PRE	de
ire	NOMcom	ire
plein	ADJqua	plein
.	PONfrt	.

Plaindre	VERinf	plaindre
s'	PROper	soi
ala	VERcjg	aller
a	PRE	a
Chadwalein	NOMpro	Cadwalan
;	PONfbl	;
Jamés	ADVgen	jamais
,	PONfbl	,
ço	PROdem	ce
dist	VERcjg	dire
,	PONfbl	,
ne	ADVneg	ne
l'	PROper	il
amera	VERcjg	aimer
Ne	CONcoo	ne
de	PRE	de
lui	PROper	il
terre	NOMcom	terre
ne	ADVneg	ne
tendra	VERcjg	tenir
Si	CONsub	si
d'	PRE	de
Oswald	NOMpro	Oswald
ne	ADVneg	ne
li	PROper	il
fait	VERcjg	faire
venjance	NOMcom	vengeance
,	PONfbl	,
Ki	PROrel	qui
li	PROper	il
ad	VERcjg	avoir
fait	VERppe	faire
si	ADVgen	si
grant	ADJqua	grant
pesance	NOMcom	pesance
.	PONfrt	.

Quant	CONsub	quand
lur	PROper	leur
plot	VERcjg	plaire
,	PONfbl	,
lur	DETpos	leur
otz	NOMcom	ost
asemblerent	VERcjg	assembler
,	PONfbl	,
En	PRE	en
Northumberlande	NOMpro	Northumberland
passerent	VERcjg	passer
;	PONfbl	;
Encuntre	PRE	encontre
Oswalt	NOMpro	Oswald
se	PROper	soi
cumbatirent	VERcjg	combattre
,	PONfbl	,
D'	PRE	de
ambesdous	DETcar	ambedeux
parz	NOMcom	part
mult	ADVgen	moult
i	PROadv	i
perdirent	VERcjg	perdre
.	PONfrt	.

E	CONcoo	et
Peanda	NOMpro	Penda
Oswalt	NOMpro	Oswald
trova	VERcjg	trover
,	PONfbl	,
Mult	ADVgen	moult
le	PROper	il
haï	VERcjg	häir
sil	ADVgen.PROper	si.le
decola	VERcjg	décoller
.	PONfrt	.

Grant	ADJqua	grant
fud	VERcjg	être
li	DETdef	le
dols	NOMcom	deuil
e	CONcoo	et
grant	ADJqua	grant
la	DETdef	le
perte	NOMcom	perte
,	PONfbl	,
Humes	NOMcom	homme
ocis	VERppe	occire
,	PONfbl	,
terre	NOMcom	terre
deserte	ADJqua	désert
,	PONfbl	,
Femmes	NOMcom	femme
vedves	ADJqua	veuve
,	PONfbl	,
viles	NOMcom	ville
guastees	VERppe	gâter
,	PONfbl	,
Maisuns	NOMcom	maison
voides	ADJqua	vide
,	PONfbl	,
preies	NOMcom	proie
menees	VERppe	mener
.	PONfrt	.

Un	PROind	un
des	PRE.DETdef	de.le
freres	NOMcom	frère
Oswald	NOMpro	Oswald
,	PONfbl	,
Oswi	NOMpro	Oswi
,	PONfbl	,
Lu	DETdef	le
regne	NOMcom	règne
sun	DETpos	son
frere	NOMcom	frère
saisi	VERcjg	saisir
;	PONfbl	;
E	CONcoo	et
li	DETdef	le
barun	NOMcom	baron
l'	PROper	il
unt	VERcjg	avoir
receü	VERppe	recevoir
,	PONfbl	,
Ki	PROrel	qui
lur	DETpos	leur
seignur	NOMcom	seigneur
orent	VERcjg	avoir
perdu	VERppe	perdre
.	PONfrt	.

Cil	PROdem	cel
vit	VERcjg	vëoir
la	DETdef	le
gent	NOMcom	gent
mult	ADVgen	moult
afieblie	VERppe	affaiblir
E	CONcoo	et
la	DETdef	le
terre	NOMcom	terre
mult	ADVgen	moult
apovrie	VERppe	appauvrir
;	PONfbl	;
Vit	VERcjg	vëoir
la	DETdef	le
force	NOMcom	force
Chadwalein	NOMpro	Cadwalan
grant	ADJqua	grant
,	PONfbl	,
Vit	VERcjg	vëoir
Chadwalein	NOMpro	Cadwalan
fort	ADJqua	fort
e	CONcoo	et
puissant	ADJqua	poissant
,	PONfbl	,
Vit	VERcjg	vëoir
que	CONsub	que
tenir	VERinf	tenir
ne	ADVneg	ne
se	PROper	soi
purreit	VERcjg	pouvoir
Si	CONsub	si
Chadwalein	NOMpro	Cadwalan
l'	PROper	il
envaïsseit	VERcjg	envahir
.	PONfrt	.

Mielz	ADVgen	mieux
volt	VERcjg	vouloir
laissier	VERinf	laisser
sa	DETpos	son
dignité	NOMcom	dignité
E	CONcoo	et
humilier	VERinf	humilier
de	PRE	de
sun	DETpos	son
gré	NOMcom	gré
Que	CONsub	que
vers	PRE	vers
tel	DETind	tel
hume	NOMcom	homme
guerre	NOMcom	guerre
prendre	VERinf	prendre
Dunt	PROrel	dont
il	PROper	il
ne	ADVneg	ne
se	PROper	soi
puisse	VERcjg	pöoir
defendre	VERinf	défendre
.	PONfrt	.

A	PRE	a
Chadwalein	NOMpro	Cadwalan
prist	VERcjg	prendre
parlement	NOMcom	parlement
;	PONfbl	;
Mult	ADVgen	moult
li	PROper	il
duna	VERcjg	donner
or	NOMcom	or
e	CONcoo	et
argent	NOMcom	argent
;	PONfbl	;
En	PRE	en
sa	DETpos	son
baillie	NOMcom	baillie
se	PROper	soi
submist	VERcjg	soumettre
,	PONfbl	,
Sis	DETpos	son
huem	NOMcom	homme
devint	VERcjg	devenir
,	PONfbl	,
feelté	NOMcom	féauté
fist	VERcjg	faire
,	PONfbl	,
Sun	DETpos	son
regne	NOMcom	règne
de	PRE	de
li	PROper	il
recunut	VERcjg	reconnaître
,	PONfbl	,
E	CONcoo	et
Chadwalein	NOMpro	Cadwalan
sun	DETpos	son
fieu	NOMcom	fief
li	PROper	il
crut	VERcjg	croître
;	PONfbl	;
Issi	ADVgen	issi
fud	VERcjg	être
la	DETdef	le
pais	NOMcom	paix
graantee	VERppe	créanter
E	CONcoo	et
issi	ADVgen	issi
fud	VERcjg	être
lunges	ADVgen	longues
guardee	VERppe	garder
.	PONfrt	.

Oswi	NOMpro	Oswi
ot	VERcjg	avoir
parenz	NOMcom	parent
e	CONcoo	et
nevuz	NOMcom	neveu
Asez	ADVgen	assez
preisanz	VERppa	priser
e	CONcoo	et
asez	ADVgen	assez
pruz	ADJqua	preux
,	PONfbl	,
Ki	PROrel	qui
,	PONfbl	,
pur	PRE	pour
aveir	VERinf	avoir
part	NOMcom	part
de	PRE	de
la	DETdef	le
terre	NOMcom	terre
,	PONfbl	,
Pristrent	VERcjg	prendre
estrif	NOMcom	estrif
entr'	PRE	entre
els	PROper	eux
e	CONcoo	et
guerre	NOMcom	guerre
.	PONfrt	.

Mes	CONcoo	mais
Oswi	NOMpro	Oswi
bien	ADVgen	bien
se	PROper	soi
defendi	VERcjg	défendre
Que	CONsub	que
nuls	PROind	nul
terre	NOMcom	terre
ne	ADVneg	ne
li	PROper	il
toli	VERcjg	tolir
;	PONfbl	;
De	PRE	de
ça	ADVgen	ça
le	DETdef	le
Humbre	NOMpro	Humber
les	PROper	il
chaça	VERcjg	chasser
.	PONfrt	.

E	CONcoo	et
cil	PROdem	cel
vindrent	VERcjg	venir
a	PRE	a
Peanda	NOMpro	Penda
,	PONfbl	,
Que	PROrel	que
forz	ADJqua	fort
hum	NOMcom	homme
esteit	VERcjg	être
,	PONfbl	,
sil	ADVgen.PROper	si.le
requistrent	VERcjg	requérir
,	PONfbl	,
Avers	NOMcom	avoir
e	CONcoo	et
terres	NOMcom	terre
li	PROper	il
pramistrent	VERcjg	promettre
Sis	ADVgen.PROper	si.le
maintenist	VERcjg	maintenir
e	CONcoo	et
cunseillast	VERcjg	conseiller
E	CONcoo	et
Oswi	NOMpro	Oswi
pur	PRE	pour
els	PROper	eux
guereiast	VERcjg	guerroyer
.	PONfrt	.

Peanda	NOMpro	Penda
dist	VERcjg	dire
qu'	CONsub	que
il	PROper	il
n'	ADVneg	ne
en	PROadv	en
osot	VERcjg	oser
Si	CONsub	si
Chadwalein	NOMpro	Cadwalan
nel	ADVneg.PROper	ne
graantot	VERcjg	créanter
;	PONfbl	;
N'	ADVneg	ne
osereit	VERcjg	oser
guerre	NOMcom	guerre
cumencier	VERinf	commencer
Ne	CONcoo	ne
la	DETdef	le
pais	NOMcom	paix
enfraindre	VERinf	enfreindre
premier	ADJord	premier
,	PONfbl	,
Mes	CONcoo	mais
il	PROper	il
querreit	VERcjg	quérir
,	PONfbl	,
se	CONsub	se
il	PROper	il
poeit	VERcjg	pouvoir
,	PONfbl	,
Que	CONsub	que
Chadwalein	NOMpro	Cadwalan
l'	PROper	il
otriereit	VERcjg	octroyer
.	PONfrt	.

A	PRE	a
une	DETndf	un
Pentecuste	NOMcom	pentecôte
avint	VERcjg	advenir
Que	CONsub	que
Chadwalein	NOMpro	Cadwalan
feste	NOMcom	fête
e	CONcoo	et
curt	NOMcom	cour
tint	VERcjg	tenir
.	PONfrt	.

A	PRE	a
Londres	NOMpro	Londene
se	PROper	soi
fist	VERcjg	faire
curuner	VERinf	couronner
E	CONcoo	et
ses	DETpos	son
baruns	NOMcom	baron
fist	VERcjg	faire
tuz	PROind	tous
mander	VERinf	mander
.	PONfrt	.

Oswi	NOMpro	Oswi
n'	ADVneg	ne
i	PROadv	i
fud	VERcjg	être
mie	ADVneg	mie
veüz	VERppe	vëoir
,	PONfbl	,
Ne	CONcoo	ne
il	PROper	il
n'	ADVneg	ne
i	PROadv	i
esteit	VERcjg	être
pas	ADVneg	pas
venuz	VERppe	venir
;	PONfbl	;
Ne	ADVneg	ne
sai	VERcjg	savoir
s'	CONsub	se
il	PROper	il
ne	ADVneg	ne
volt	VERcjg	vouloir
u	CONcoo	ou
ne	ADVneg	ne
pot	VERcjg	pöoir
,	PONfbl	,
U	PROrel	où
Chadwalein	NOMpro	Cadwalan
mandé	VERppe	mander
ne	ADVneg	ne
l'	PROper	il
ot	VERcjg	avoir
.	PONfrt	.

Peanda	NOMpro	Penda
en	PRE	en
piez	NOMcom	pié
se	PROper	soi
dresça	VERcjg	dresser
,	PONfbl	,
Al	PRE.DETdef	à.le
rei	NOMcom	roi
Chadwalein	NOMpro	Cadwalan
demanda	VERcjg	demander
Que	PROrel	que
poeit	VERcjg	pouvoir
estre	VERinf	estre
e	CONcoo	et
que	PROrel	que
deveit	VERcjg	devoir
Que	CONsub	que
Oswi	NOMpro	Oswi
a	PRE	a
curt	NOMcom	cour
ne	ADVneg	ne
veneit	VERcjg	venir
.	PONfrt	.

Tuit	PROind	tot
i	PROadv	i
esteient	VERcjg	être
li	DETdef	le
barun	NOMcom	baron
E	CONcoo	et
li	DETdef	le
Engleis	NOMpro	Anglais
e	CONcoo	et
li	DETdef	le
Bretun	NOMpro	Breton
,	PONfbl	,
Oswi	NOMpro	Oswi
sul	ADJqua	seul
ne	ADVneg	ne
deignot	VERcjg	daigner
servir	VERinf	servir
N'	CONcoo	ne
a	PRE	a
sa	DETpos	son
curt	NOMcom	cour
ne	ADVneg	ne
deignot	VERcjg	daigner
venir	VERinf	venir
.	PONfrt	.

“	PONpga	“
Essoine	NOMcom	essoine
,	PONfbl	,
dist	VERcjg	dire
li	DETdef	le
reis	NOMcom	roi
,	PONfbl	,
le	PROper	il
tient	VERcjg	tenir
;	PONfbl	;
En	PRE	en
enferté	NOMcom	enferté
gist	VERcjg	gésir
,	PONfbl	,
si	ADVgen	si
devient	VERcjg	devenir
.	PONfbl	.
”	PONpdr	”
Dist	VERcjg	dire
Peanda	NOMpro	Penda
:	PONfbl	:
“	PONpga	“
N'	ADVneg	ne
est	VERcjg	estre
mie	ADVneg	mie
issi	ADVgen	issi
;	PONfbl	;
Vus	PROper	vous
ne	ADVneg	ne
cunuissiez	VERcjg	connaître
mie	ADVneg	mie
Oswi	NOMpro	Oswi
.	PONfrt	.

Il	PROper	il
ad	VERcjg	avoir
en	PRE	en
Seissuine	NOMpro	Saxe
enveié	VERppe	envoyer
Pur	PRE	pour
gent	NOMcom	gent
a	PRE	a
cheval	NOMcom	cheval
e	CONcoo	et
a	PRE	a
pié	NOMcom	pié
.	PONfrt	.

Gent	NOMcom	gent
purchace	VERcjg	pourchasser
,	PONfbl	,
soldeiers	NOMcom	soudoyer
quiert	VERcjg	querre
;	PONfbl	;
Des	ADVgen	des
qu'	CONsub	que
il	PROper	il
purra	VERcjg	pouvoir
e	CONcoo	et
lieus	NOMcom	lieu
en	PROadv	en
iert	VERcjg	estre
,	PONfbl	,
Guerre	NOMcom	guerre
quide	VERcjg	cuider
grant	ADJqua	grant
esmoveir	VERinf	émouvoir
,	PONfbl	,
Ne	ADVneg	ne
puet	VERcjg	pöoir
ne	CONcoo	ne
ne	ADVneg	ne
volt	VERcjg	vouloir
pais	NOMcom	paix
aveir	VERinf	avoir
.	PONfrt	.

Mes	CONcoo	mais
s'	CONsub	se
il	PROimp	il
ne	ADVneg	ne
vos	PROper	vos
pesot	VERcjg	peser
,	PONfbl	,
jo	PROper	je
voil	VERcjg	vouloir
Aler	VERinf	aller
abatre	VERinf	abattre
sun	DETpos	son
orguil	NOMcom	orgueil
.	PONfrt	.

Si	CONsub	si
jo	PROper	je
vostre	DETpos	vostre
cungié	NOMcom	congé
en	PROadv	en
ai	VERcjg	avoir
,	PONfbl	,
U	CONcoo	ou
vif	ADJqua	vif
u	CONcoo	ou
mort	VERppe	mourir
le	PROper	il
vus	PROper	vous
rendrai	VERcjg	rendre
;	PONfbl	;
De	PRE	de
la	DETdef	le
terre	NOMcom	terre
l'en	PROind	loin
chacerai	VERcjg	chasser
.	PONfbl	.
”	PONpdr	”
Dist	VERcjg	dire
Chadwalein	NOMpro	Cadwalan
:	PONfbl	:
“	PONpga	“
Jon	PROper.PROadv	je.en
parlerai	VERcjg	parler
.	PONfbl	.
”	PONpdr	”
Dunc	ADVgen	donc
fist	VERcjg	faire
Peanda	NOMpro	Penda
fors	ADVgen	fors
issir	VERinf	issir
E	CONcoo	et
les	DETdef	le
Engleis	NOMpro	Anglais
tuz	ADVgen	tout
departir	VERinf	departir
;	PONfbl	;
Des	PRE.DETdef	de
Bretuns	NOMpro	Breton
retint	VERcjg	retenir
les	DETdef	le
ainz	NOMcom	ainz
nez	VERppe	naistre
,	PONfbl	,
Les	DETdef	le
plus	ADVgen	plus
riches	ADJqua	riche
,	PONfbl	,
les	DETdef	le
plus	ADVgen	plus
senez	ADJqua	sené
;	PONfbl	;
La	DETdef	le
requeste	NOMcom	requête
lur	PROper	leur
ad	VERcjg	avoir
mustree	VERppe	montrer
Que	PROrel	que
Peanda	NOMpro	Penda
ot	VERcjg	avoir
demandee	VERppe	demander
.	PONfrt	.

Lez	PRE	lez
Chadwalein	NOMpro	Cadwalan
sist	VERcjg	sëoir
Margadud	NOMpro	Margadud
,	PONfbl	,
Ki	PROrel	qui
de	PRE	de
Suthwales	NOMpro	Sud<unk>Galles
sire	NOMcom	seignor
fud	VERcjg	être
.	PONfrt	.

“	PONpga	“
Pose	NOMcom	pause
a	VERcjg	avoir
,	PONfbl	,
dist	VERcjg	dire
il	PROper	il
,	PONfbl	,
que	CONsub	que
cumença	VERcjg	commencer
,	PONfbl	,
E	CONcoo	et
pose	NOMcom	pause
,	PONfbl	,
ço	PROdem	ce
m'	PROper	je
est	VERcjg	estre
